code,industry,update_date
sz002083,纺织制造,2025-12-12
sz002084,家居用品,2025-12-12
sz002085,汽车零部件,2025-12-12
sz002086,医疗器械,2025-12-12
sz002088,建筑材料,2025-12-12
sz002090,电网设备,2025-12-12
sz002091,贸易,2025-12-12
sz002092,化学原料,2025-12-12
sz002093,通信服务,2025-12-12
sz002094,家居用品,2025-12-12
sz002095,文化传媒,2025-12-12
sz002096,化学制品,2025-12-12
sz002097,工程机械,2025-12-12
sz002098,纺织制造,2025-12-12
sz002099,化学制药,2025-12-12
sz002100,农产品加工,2025-12-12
sz002101,汽车零部件,2025-12-12
sz002102,化学制药,2025-12-12
sz002103,家居用品,2025-12-12
sz002104,通信设备,2025-12-12
sz002105,汽车服务及其他,2025-12-12
sz002106,光学光电子,2025-12-12
sz002107,中药,2025-12-12
sz002108,塑料制品,2025-12-12
sz002109,化学原料,2025-12-12
sz002110,钢铁,2025-12-12
sz002111,军工装备,2025-12-12
sz002112,电网设备,2025-12-12
sz002114,工业金属,2025-12-12
sz002115,通信服务,2025-12-12
sz002116,建筑装饰,2025-12-12
sz002117,包装印刷,2025-12-12
sz002119,半导体,2025-12-12
sz002120,物流,2025-12-12
sz002121,电网设备,2025-12-12
sz002123,通信服务,2025-12-12
sz002124,养殖业,2025-12-12
sz002125,电池,2025-12-12
sz002127,互联网电商,2025-12-12
sz002128,煤炭开采加工,2025-12-12
sz002129,光伏设备,2025-12-12
sz002130,其他电子,2025-12-12
sz002131,通用设备,2025-12-12
sz002132,通用设备,2025-12-12
sz002133,房地产,2025-12-12
sz002134,元件,2025-12-12
sz002135,建筑装饰,2025-12-12
sz002136,化学原料,2025-12-12
sz002137,光学光电子,2025-12-12
sz002139,消费电子,2025-12-12
sz002140,建筑装饰,2025-12-12
sz002141,养殖业,2025-12-12
sz002142,银行,2025-12-12
sz002144,纺织制造,2025-12-12
sz002145,化学原料,2025-12-12
sz002146,房地产,2025-12-12
sz002148,通信服务,2025-12-12
sz002149,小金属,2025-12-12
sz002150,光伏设备,2025-12-12
sz002152,计算机设备,2025-12-12
sz002153,软件开发,2025-12-12
sz002154,服装家纺,2025-12-12
sz002155,贵金属,2025-12-12
sz002157,养殖业,2025-12-12
sz002158,通用设备,2025-12-12
sz002159,旅游及酒店,2025-12-12
sz002160,工业金属,2025-12-12
sz002161,其他电子,2025-12-12
sz002162,家居用品,2025-12-12
sz002163,建筑装饰,2025-12-12
sz002164,通用设备,2025-12-12
sz002165,化学制品,2025-12-12
sz002167,小金属,2025-12-12
sz002169,电网设备,2025-12-12
sz002170,农化制品,2025-12-12
sz002171,工业金属,2025-12-12
sz002172,医疗服务,2025-12-12
sz002173,医疗服务,2025-12-12
sz002174,游戏,2025-12-12
sz002175,通用设备,2025-12-12
sz002176,电机,2025-12-12
sz002177,零售,2025-12-12
sz002178,软件开发,2025-12-12
sz002180,计算机设备,2025-12-12
sz002181,文化传媒,2025-12-12
sz002182,小金属,2025-12-12
sz002183,贸易,2025-12-12
sz002184,自动化设备,2025-12-12
sz002185,半导体,2025-12-12
sz002186,旅游及酒店,2025-12-12
sz002187,零售,2025-12-12
sz002188,房地产,2025-12-12
sz002189,军工电子,2025-12-12
sz002191,包装印刷,2025-12-12
sz002193,服装家纺,2025-12-12
sz002194,通信设备,2025-12-12
sz002195,IT服务,2025-12-12
sz002196,电机,2025-12-12
sz002198,中药,2025-12-12
sz002201,建筑材料,2025-12-12
sz002202,风电设备,2025-12-12
sz002203,工业金属,2025-12-12
sz002204,专用设备,2025-12-12
sz002205,建筑材料,2025-12-12
sz002206,化学纤维,2025-12-12
sz002207,油气开采及服务,2025-12-12
sz002208,房地产,2025-12-12
sz002209,专用设备,2025-12-12
sz002210,环境治理,2025-12-12
sz002212,软件开发,2025-12-12
sz002213,半导体,2025-12-12
sz002215,种植业与林业,2025-12-12
sz002216,食品加工制造,2025-12-12
sz002217,光学光电子,2025-12-12
sz002218,电力,2025-12-12
sz002219,医疗服务,2025-12-12
sz002221,石油加工贸易,2025-12-12
sz002224,橡胶制品,2025-12-12
sz002225,建筑材料,2025-12-12
sz002226,化学制品,2025-12-12
sz002227,其他电源设备,2025-12-12
sz002228,包装印刷,2025-12-12
sz002229,包装印刷,2025-12-12
sz002232,IT服务,2025-12-12
sz002233,建筑材料,2025-12-12
sz002234,养殖业,2025-12-12
sz002235,造纸,2025-12-12
sz002236,计算机设备,2025-12-12
sz002237,贵金属,2025-12-12
sz002238,文化传媒,2025-12-12
sz002239,汽车零部件,2025-12-12
sz002241,消费电子,2025-12-12
sz002242,小家电,2025-12-12
sz002243,美容护理,2025-12-12
sz002244,房地产,2025-12-12
sz002245,电池,2025-12-12
sz002246,化学制品,2025-12-12
sz002247,建筑材料,2025-12-12
sz002248,通用设备,2025-12-12
sz002249,电机,2025-12-12
sz002250,农化制品,2025-12-12
sz002251,零售,2025-12-12
sz002252,生物制品,2025-12-12
sz002254,化学纤维,2025-12-12
sz002258,农化制品,2025-12-12
sz002259,燃气,2025-12-12
sz002262,化学制药,2025-12-12
sz002263,塑料制品,2025-12-12
sz002264,文化传媒,2025-12-12
sz002265,军工装备,2025-12-12
sz002266,环境治理,2025-12-12
sz002267,燃气,2025-12-12
sz002268,计算机设备,2025-12-12
sz002269,服装家纺,2025-12-12
sz002270,电网设备,2025-12-12
sz002271,建筑材料,2025-12-12
sz002272,通用设备,2025-12-12
sz002273,光学光电子,2025-12-12
sz002274,化学原料,2025-12-12
sz002275,中药,2025-12-12
sz002276,电网设备,2025-12-12
sz002277,零售,2025-12-12
sz002278,专用设备,2025-12-12
sz002279,软件开发,2025-12-12
sz002282,通用设备,2025-12-12
sz002283,汽车零部件,2025-12-12
sz002284,汽车零部件,2025-12-12
sz002285,房地产,2025-12-12
sz002286,农产品加工,2025-12-12
sz002287,中药,2025-12-12
sz002291,文化传媒,2025-12-12
sz002292,影视院线,2025-12-12
sz002293,服装家纺,2025-12-12
sz002295,工业金属,2025-12-12
sz002296,通信设备,2025-12-12
sz002297,军工装备,2025-12-12
sz002298,电网设备,2025-12-12
sz002299,养殖业,2025-12-12
sz002301,家居用品,2025-12-12
sz002302,建筑材料,2025-12-12
sz002303,包装印刷,2025-12-12
sz002307,建筑装饰,2025-12-12
sz002310,环境治理,2025-12-12
sz002312,农化制品,2025-12-12
sz002313,通信设备,2025-12-12
sz002314,房地产,2025-12-12
sz002316,通信服务,2025-12-12
sz002317,中药,2025-12-12
sz002318,钢铁,2025-12-12
sz002319,化学制品,2025-12-12
sz002320,港口航运,2025-12-12
sz002321,养殖业,2025-12-12
sz002322,软件开发,2025-12-12
sz002323,建筑装饰,2025-12-12
sz002324,塑料制品,2025-12-12
sz002326,化学制品,2025-12-12
sz002327,服装家纺,2025-12-12
sz002328,汽车零部件,2025-12-12
sz002329,饮料制造,2025-12-12
sz002330,食品加工制造,2025-12-12
sz002331,IT服务,2025-12-12
sz002332,化学制药,2025-12-12
sz002333,建筑材料,2025-12-12
sz002334,自动化设备,2025-12-12
sz002337,专用设备,2025-12-12
sz002339,电网设备,2025-12-12
sz002340,电池,2025-12-12
sz002342,通用设备,2025-12-12
sz002343,影视院线,2025-12-12
sz002344,零售,2025-12-12
sz002345,服装家纺,2025-12-12
sz002346,电网设备,2025-12-12
sz002348,家居用品,2025-12-12
sz002349,中药,2025-12-12
sz002350,电网设备,2025-12-12
sz002351,消费电子,2025-12-12
sz002354,文化传媒,2025-12-12
sz002355,汽车零部件,2025-12-12
sz002356,零售,2025-12-12
sz002357,公路铁路运输,2025-12-12
sz002358,电网设备,2025-12-12
sz002360,化学制品,2025-12-12
sz002361,塑料制品,2025-12-12
sz002362,软件开发,2025-12-12
sz002363,汽车零部件,2025-12-12
sz002364,其他电源设备,2025-12-12
sz002365,化学制药,2025-12-12
sz002366,其他电源设备,2025-12-12
